1
龙耀路	22:51	22:21
云锦路	22:53	22:23
龙华	22:55	22:25
上海游泳馆	22:58	22:28
徐家汇	23:01	22:31
交通大学	23:04	22:34
江苏路	23:07	22:37
隆德路	23:10	22:40
曹杨路	23:12	22:42
枫桥路	23:14	22:44
真如	23:16	22:46
上海西站	23:19	22:49
李子园	23:21	22:51
祁连山路	23:24	22:54
武威路	23:26	22:56
桃浦新村	23:28	22:58
南翔	23:32	23:02
马陆	23:38	23:08
嘉定新城	23:41	23:11
白银路	23:44	---
嘉定西站	23:48	---
嘉定北站	23:50	---
上海赛车场	---	23:15
昌吉东路	---	23:21
上海汽车城	---	23:24
安亭	---	23:27
兆丰路	---	23:29
光明路	---	23:32
花桥	---	23:34
12
金海路	22:00
申江路	22:04
金京路	22:06
杨高北路	22:08
巨峰路	22:11
东陆路	22:13
复兴岛	22:16
爱国路	22:18
隆昌路	22:20
宁国路	22:23
江浦公园	22:25
大连路	22:27
提篮桥	22:29
国际客运中心	22:31
天潼路	22:35
曲阜路	22:37
13
金运路	22:11
金沙江西路	22:13
丰庄	22:17
祁连山南路	22:20
真北路	22:22
大渡河路	22:25
金沙江路	22:28
16
滴水湖	22:00
临港大道	22:03
书院	22:09
惠南东	22:19
惠南	22:24
野生动物园	22:32
新场	22:39
航头东	22:45
鹤沙航城	22:49
周浦东	22:55
罗山路	23:01

